transaction_id,sku,location_id,transaction_type,quantity,unit_cost,reference_document,timestamp,user_id,notes
TXN-001,SKU-001,MAIN-WH,receipt,100,25.99,PO-2024-001,2024-01-15 10:30:00,admin,Initial stock receipt
TXN-002,SKU-002,MAIN-WH,receipt,20,199.99,PO-2024-002,2024-01-15 11:00:00,admin,Office furniture delivery
TXN-003,SKU-001,STORE-A,transfer,25,25.99,TRF-001,2024-01-16 09:15:00,manager,Transfer to store A
TXN-004,SKU-001,STORE-A,shipment,-5,25.99,SALE-001,2024-01-16 14:20:00,clerk,Customer purchase
TXN-005,SKU-003,MAIN-WH,receipt,30,45.50,PO-2024-003,2024-01-17 08:45:00,admin,Laptop stands received
TXN-006,SKU-004,MAIN-WH,receipt,25,35.00,PO-2024-004,2024-01-17 13:30:00,admin,Desk lamps received
TXN-007,SKU-005,MAIN-WH,receipt,100,12.99,PO-2024-005,2024-01-18 10:00:00,admin,Notebook sets received
TXN-008,SKU-002,STORE-B,transfer,5,199.99,TRF-002,2024-01-18 15:45:00,manager,Transfer to store B
TXN-009,SKU-003,STORE-A,transfer,10,45.50,TRF-003,2024-01-19 09:30:00,manager,Transfer laptop stands
TXN-010,SKU-001,MAIN-WH,adjustment,-2,25.99,ADJ-001,2024-01-19 16:00:00,admin,Damaged items adjustment
